,medicine,f1-score,precision,recall,TP,FP,TN,FN
0,麻黃,0.9115044247787611,0.8728813559322034,0.9537037037037037,103,15,514,5
1,桂枝,0.9719626168224299,0.9848484848484849,0.959409594095941,260,4,362,11
2,荊芥,0.5333333333333333,0.36363636363636365,1.0,20,35,582,0
3,防風,0.6788990825688073,0.5138888888888888,1.0,37,35,565,0
4,細辛,0.9700272479564033,0.967391304347826,0.9726775956284153,178,6,448,5
5,白芷,0.3111111111111111,0.18421052631578946,1.0,7,31,599,0
6,生薑,0.9502762430939227,0.9555555555555556,0.945054945054945,172,8,447,10
7,辛夷,0.6382978723404256,0.46875,1.0,30,34,573,0
8,葛根,0.41269841269841273,0.26,1.0,13,37,587,0
9,升麻,1.0,1.0,1.0,8,0,629,0
10,柴胡,0.9782082324455206,0.9711538461538461,0.9853658536585366,202,6,426,3
11,蟬蛻,0.4918032786885246,0.32608695652173914,1.0,15,31,591,0
12,石膏,0.9257142857142856,0.8901098901098901,0.9642857142857143,81,10,543,3
13,知母,0.9488372093023255,0.918918918918919,0.9807692307692307,102,9,524,2
14,梔子,0.9600000000000001,0.9230769230769231,1.0,48,4,585,0
15,天花粉,1.0,1.0,1.0,13,0,624,0
16,夏枯草,0.3404255319148936,0.20512820512820512,1.0,8,31,598,0
17,決明子,0.375,0.23076923076923078,1.0,9,30,598,0
18,生地,0.9589041095890412,0.9333333333333333,0.9859154929577465,70,5,561,1
19,牡丹皮,1.0,1.0,1.0,7,0,630,0
20,連翹,0.9642857142857143,0.9642857142857143,0.9642857142857143,27,1,608,1
21,射干,0.9444444444444444,0.8947368421052632,1.0,17,2,618,0
22,黃連,0.9788732394366197,0.9652777777777778,0.9928571428571429,139,5,492,1
23,黃芩,0.9900990099009901,0.9920634920634921,0.9881422924901185,250,2,382,3
24,黃柏,0.9247311827956989,0.8775510204081632,0.9772727272727273,43,6,587,1
25,龍膽草,0.9647058823529412,0.9534883720930233,0.9761904761904762,82,4,549,2
26,大黃,0.9506726457399103,0.9464285714285714,0.954954954954955,106,6,520,5
27,芒硝,0.9767441860465116,0.9767441860465116,0.9767441860465116,42,1,593,1
28,防己,0.98989898989899,1.0,0.98,49,0,587,1
29,秦艽,0.20512820512820512,0.11428571428571428,1.0,4,31,602,0
30,絡石藤,1.0,1.0,1.0,7,0,630,0
31,蒼朮,0.7317073170731707,0.5769230769230769,1.0,45,33,559,0
